Platform,MinimumBIOSVersion,BIOSFamily,SoftpaqNumber
HP Z8 G5,01.02.29,U60,sp164478
HP Z2 G8 SFF,01.06.12,T50,sp163351
HP Z2 G8 Tower,01.06.12,T50,sp163351
HP Z Central 4R,TBD,P63,TBD
HP Z2 Mini G5,01.04.20,S50,sp163340
HP Z2 SFF G5,01.04.20,S50,sp163340
HP Z2 SFF G5,01.04.20,S50,sp163340
HP Z2 Tower G5,01.04.20,S50,sp163340
HP Z4 G4 (Core-X),TBD,P62,TBD
HP Z4 G4 (Xeon),TBD,P61,TBD
HP Z6 G4,TBD,P60,TBD
HP Z8 G4,TBD,P60,TBD
HP Z2 Mini G4,01.08.13,Q50,sp163316
HP Z2 SFF G4,01.08.13,Q50,sp163316
HP Z2 Tower G4,01.08.13,Q50,sp163316
HP Engage Flex Mini G2 Retail System,02.02.03,X21,sp161642
HP Engage One Pro 15.6 G2 System,02.03.01,W30,sp164417
HP Engage One Pro 19.5 G2 System,02.03.01,W30,sp164417
HP Engage One Pro 23.8 G2 System,02.03.01,W30,sp164417
HP Engage Flex Pro G2 Retail System,02.09.10,V30,sp165611
HP Engage Flex Pro-C G2 Retail System,02.09.10,V30,sp165611
HP Engage Go 10 Mobile System,01.22.00,T97,sp163149
HP Engage Go 13.5 inch Mobile System,01.22.00,T97,sp163149
HP Engage Go Mobile System,01.33.00,Q97,sp163126
HP Elite mt645 G8 Mobile Thin Client,01.06.00,W71,sp163128
HP Elite t660 Thin Client,01.06.00,W44,sp161770
HP Elite t755 Thin Client,01.07.00,M46,sp161481
HP Elite mt645 G7 Mobile Thin Client,01.20.00,U81,sp163064
HP Elite mt645 G7 Mobile Thin Client,01.20.00,U89,sp163064
HP Elite t655 Thin Client,01.13.00,M45,sp161819
HP Pro mt440 G3 Mobile Thin Client,01.16.00,U74,sp163139
HP Pro mt440 G3 Mobile Thin Client,01.16.00,U91,sp163139
HP Pro t550 Thin Client,01.11.00,N45,sp163091
HP tz655 Trusted Zero Client,01.13.00,M45,sp161819
HP mt32 Mobile Thin Client,01.22.00,S85,sp163114
HP mt46 Mobile Thin Client,01.22.00,S78,sp163111
HP mt22 Mobile Thin Clinet,01.26.00,S82,sp161742
HP mt45 Mobile Thin Client,01.32.00,R81,sp163115
HP mt31 Mobile Thin Client,01.33.00,Q92,sp161720
